state,commodity,modal_price
Andhra Pradesh,Groundnut,4000.0
Andhra Pradesh,Tamarind Fruit,5800.0
Andhra Pradesh,Tamarind Seed,1800.0
Andhra Pradesh,Gur(Jaggery),3000.0
Andhra Pradesh,Gur(Jaggery),2500.0
Andhra Pradesh,Tomato,380.0
Andhra Pradesh,Tomato,240.0
Andhra Pradesh,Tomato,200.0
Andhra Pradesh,Beetroot,300.0
Andhra Pradesh,Bhindi(Ladies Finger),800.0
Andhra Pradesh,Bitter Gourd,550.0
Andhra Pradesh,Bottle Gourd,150.0
Andhra Pradesh,Brinjal,400.0
Andhra Pradesh,Cabbage,230.0
Andhra Pradesh,Carrot,1050.0
Andhra Pradesh,Cauliflower,300.0
Andhra Pradesh,Cluster Beans,1100.0
Andhra Pradesh,Green Chilli,1400.0
Andhra Pradesh,Potato,1000.0
Andhra Pradesh,Raddish,400.0
Andhra Pradesh,Ridgeguard(Tori),1500.0
Andhra Pradesh,Sweet Potato,2000.0
Andhra Pradesh,Tomato,460.0
Andhra Pradesh,Groundnut,3500.0
Andhra Pradesh,Gur(Jaggery),2600.0
Andhra Pradesh,Tomato,250.0
Andhra Pradesh,Gur(Jaggery),2000.0
Andhra Pradesh,Gur(Jaggery),2250.0
Andhra Pradesh,Ground Nut Seed,6300.0
Andhra Pradesh,Groundnut (Split),4583.0
Andhra Pradesh,Paddy(Dhan),1466.0
Andhra Pradesh,Paddy(Dhan),1700.0
Andhra Pradesh,Banana,150.0
Andhra Pradesh,Paddy(Dhan),1550.0
Andhra Pradesh,Banana,200.0
Andhra Pradesh,Banana,450.0
Andhra Pradesh,Turmeric,4800.0
Andhra Pradesh,Turmeric,6500.0
Andhra Pradesh,Cotton,4600.0
Andhra Pradesh,Cotton,4800.0
Andhra Pradesh,Paddy(Dhan),2000.0
Andhra Pradesh,Maize,1400.0
Andhra Pradesh,Paddy(Dhan),1650.0
Andhra Pradesh,Bengal Gram(Gram),5000.0
Andhra Pradesh,Maize,1425.0
Andhra Pradesh,Sunflower,4000.0
Andhra Pradesh,Bengal Gram(Gram),3950.0
Andhra Pradesh,Jowar(Sorghum),1400.0
Andhra Pradesh,Paddy(Dhan),1450.0
Andhra Pradesh,Rice,3500.0
Andhra Pradesh,Lemon,1500.0
Andhra Pradesh,Cashew Kernnel,12000.0
Andhra Pradesh,Cotton,4500.0
Andhra Pradesh,Rice,3000.0
Andhra Pradesh,Cashewnuts,12800.0
Andhra Pradesh,Paddy(Dhan),1570.0
Andhra Pradesh,Maize,1430.0
