state,product,market_price,unit,currency
Andhra Pradesh,Groundnut,4000.0,quintal,INR
Andhra Pradesh,Tamarind Fruit,5800.0,quintal,INR
Andhra Pradesh,Tamarind Seed,1800.0,quintal,INR
Andhra Pradesh,Gur(Jaggery),3000.0,quintal,INR
Andhra Pradesh,Gur(Jaggery),2500.0,quintal,INR
Andhra Pradesh,Tomato,380.0,quintal,INR
Andhra Pradesh,Tomato,240.0,quintal,INR
Andhra Pradesh,Tomato,200.0,quintal,INR
Andhra Pradesh,Beetroot,300.0,quintal,INR
Andhra Pradesh,Bhindi(Ladies Finger),800.0,quintal,INR
Andhra Pradesh,Bitter Gourd,550.0,quintal,INR
Andhra Pradesh,Bottle Gourd,150.0,quintal,INR
Andhra Pradesh,Brinjal,400.0,quintal,INR
Andhra Pradesh,Cabbage,230.0,quintal,INR
Andhra Pradesh,Carrot,1050.0,quintal,INR
Andhra Pradesh,Cauliflower,300.0,quintal,INR
Andhra Pradesh,Cluster Beans,1100.0,quintal,INR
Andhra Pradesh,Green Chilli,1400.0,quintal,INR
Andhra Pradesh,Potato,1000.0,quintal,INR
Andhra Pradesh,Raddish,400.0,quintal,INR
Andhra Pradesh,Ridgeguard(Tori),1500.0,quintal,INR
Andhra Pradesh,Sweet Potato,2000.0,quintal,INR
Andhra Pradesh,Tomato,460.0,quintal,INR
Andhra Pradesh,Groundnut,3500.0,quintal,INR
Andhra Pradesh,Gur(Jaggery),2600.0,quintal,INR
Andhra Pradesh,Tomato,250.0,quintal,INR
Andhra Pradesh,Gur(Jaggery),2000.0,quintal,INR
Andhra Pradesh,Gur(Jaggery),2250.0,quintal,INR
Andhra Pradesh,Ground Nut Seed,6300.0,quintal,INR
Andhra Pradesh,Groundnut (Split),4583.0,quintal,INR
Andhra Pradesh,Paddy(Dhan),1466.0,quintal,INR
Andhra Pradesh,Paddy(Dhan),1700.0,quintal,INR
Andhra Pradesh,Banana,150.0,quintal,INR
Andhra Pradesh,Paddy(Dhan),1550.0,quintal,INR
Andhra Pradesh,Banana,200.0,quintal,INR
Andhra Pradesh,Banana,450.0,quintal,INR
Andhra Pradesh,Turmeric,4800.0,quintal,INR
Andhra Pradesh,Turmeric,6500.0,quintal,INR
Andhra Pradesh,Cotton,4600.0,quintal,INR
Andhra Pradesh,Cotton,4800.0,quintal,INR
Andhra Pradesh,Paddy(Dhan),2000.0,quintal,INR
Andhra Pradesh,Maize,1400.0,quintal,INR
Andhra Pradesh,Paddy(Dhan),1650.0,quintal,INR
Andhra Pradesh,Bengal Gram(Gram),5000.0,quintal,INR
Andhra Pradesh,Maize,1425.0,quintal,INR
Andhra Pradesh,Sunflower,4000.0,quintal,INR
Andhra Pradesh,Bengal Gram(Gram),3950.0,quintal,INR
